seed_word,similar_word
“苹果”手机连接后无网络服务的问题,苹果
“苹果”手机连接后无网络服务的问题,苹果手机
“苹果”手机连接后无网络服务的问题,没网
“苹果”手机连接后无网络服务的问题,断网
安卓手机连接后无声音,安卓
后排主机无声音输出,后排主机
“电视家”播放无声音,电视家
手机连接后排USB后，无法使用投屏,投屏
无法定制开机欢迎语,开机语
无法定制开机欢迎语,开机欢迎语
冰箱使用说明,INDEL
冰箱使用说明,indel
冰箱使用说明,多美达
冰箱使用说明,冰箱
照明设备使用说明,照明灯
照明设备使用说明,厨房灯
照明设备使用说明,卫生间灯
照明设备使用说明,阅读灯
照明设备使用说明,氛围灯
照明设备使用说明,厕所灯
照明设备使用说明,小台灯
照明设备使用说明,棚灯
照明设备使用说明,遮阳棚灯
照明设备使用说明,车外照明
电磁炉使用说明,电磁炉
影音娱乐系统使用说明,电视
影音娱乐系统使用说明,智能电视
影音娱乐系统使用说明,卫星电视
水泵及热水设备使用说明,热水器
水泵及热水设备使用说明,水泵
水泵及热水设备使用说明,热水设备
插座使用说明,插座
插座使用说明,USB接口
插座使用说明,交流插座
插座使用说明,插座口
插座使用说明,usb接口
插座使用说明,usb插座
插座使用说明,usb插口
插座使用说明,USB插口
卫生间使用说明,厕所
卫生间使用说明,马桶
卫生间使用说明,便池
卫生间使用说明,座便器
卫生间使用说明,晾衣架
卫生间使用说明,毛巾架
车顶排气扇使用说明,排气扇
车侧外推窗使用说明,外推窗
电动升降桌使用说明,升降桌
房车家居智能设备使用说明,智能设备
房车家居智能设备使用说明,热水
房车家居智能设备使用说明,开灯
房车家居智能设备使用说明,换气
房车家居智能设备使用说明,排水
房车家居智能设备使用说明,制冷
房车管家场景功能使用说明,场景
房车管家场景功能使用说明,房车管家
房车管家场景功能使用说明,管家
语音常见问题,语音全双工
语音常见问题,全双工
语音常见问题,延时聆听
语音常见问题,双音区
语音设置,设置语音
常用语音指令,搜索音乐
常用语音指令,搜索节目
常用语音指令,音频控制
常用语音指令,车辆控制
常用语音指令,空调
常用语音指令,座椅加热
免唤醒,全局免唤醒指令
免唤醒,场景内免唤醒指令
免唤醒,免唤醒
语音设置功能,语音设置
语音设置功能,设置
